,circulating_Ethereum,minted_Ethereum,datetime,circulating_Polygon,minted_Polygon,circulating_Tron,minted_Tron,circulating_BSC,minted_BSC
431,35511537586.40534,39028471464.25077,2023-07-17,529075502.155945,0,41202852567.973305,44022577873.272606,3379832432.7819724,0
432,35551549350.52279,39028471464.25077,2023-07-18,523913170.366206,0,41260124020.45903,44022577873.272606,3379775643.886987,0
433,35640511012.53524,39028471464.25077,2023-07-19,518366256.158288,0,41245142793.89346,44022577873.272606,3379753564.7263193,0
434,35646036363.03192,39028471464.25077,2023-07-20,516490067.07053596,0,41214934348.564964,44022577873.272606,3379812875.454056,0
435,35685432593.48572,39028471464.25077,2023-07-21,514909993.3786821,0,41218071465.73362,44022577873.272606,3379812551.805446,0
436,35689164268.0193,39028471464.25077,2023-07-22,509759452.79260004,0,41186315000.9325,44022577873.272606,3379818029.8220983,0
437,35740770319.738014,39026949359.16301,2023-07-23,507750955.19576496,0,41141751039.3381,44022577873.272606,3379833714.0144477,0
438,35735845269.00352,39026949359.16301,2023-07-24,505248781.9814411,0,41141663200.20991,44022577873.272606,3379826560.457175,0
439,35790642550.29781,39026949359.16301,2023-07-25,501685871.46350205,0,41084456758.99301,44022577873.272606,3379822129.684851,0
440,35807937332.596016,39026949359.16301,2023-07-26,497516177.00990295,0,41085133864.84603,44022577873.272606,3379824046.385575,0
441,35871815791.21691,39026949359.16301,2023-07-27,495248516.47991395,0,40997114113.48007,44022577873.272606,3379810853.0535674,0
442,35866897900.27039,39026949359.16301,2023-07-28,492641949.533719,0,41000601920.97146,44022577873.272606,3379805108.2944403,0
443,35858940088.5333,39026949359.16301,2023-07-29,491045133.4628329,0,41002223044.77631,44022577873.272606,3379809493.806537,0
444,35859544087.7206,39026949359.16301,2023-07-30,490980375.2033,0,41002409070.974075,44022577873.272606,3379554598.38459,0
445,35856533453.22391,39026949359.16301,2023-07-31,487064852.56951195,0,40995739246.14898,44022577873.272606,3379585170.9040546,0
446,35912423657.10144,39026949359.16301,2023-08-01,481943801.775295,0,41021908427.85326,44022577873.272606,3379537225.732687,0
447,35976517870.38306,39026949359.16301,2023-08-02,478551459.649912,0,40953617018.22005,44022577873.272606,3379548542.498742,0
448,36001110477.1134,39026949359.16301,2023-08-03,469818631.43179005,0,40955016164.72271,44022577873.272606,3379459020.2991285,0
449,36077389556.76984,39026949359.16301,2023-08-04,467300976.114865,0,40884805537.363815,44022577873.272606,3379442086.94476,0
450,36071231471.23642,39026949359.16301,2023-08-05,467313895.218956,0,40878994195.86921,44022577873.272606,3379529796.2723517,0
