,datetime,usdt_mcap,usdc_mcap,busd_mcap
208,2022-07-22,65951824235.333176,55019913818.36348,17879624214.82073
209,2022-07-23,65854001213.285965,54906314484.15263,17942797174.019733
210,2022-07-24,65941857078.86505,55149837928.061935,17898840655.370056
211,2022-07-25,66009063586.28748,55180646381.89537,17882560381.25593
212,2022-07-26,66109067857.12983,55205872053.038345,17919699864.143604
213,2022-07-27,65949619909.8602,55166381187.93518,17853063561.611443
214,2022-07-28,65938951130.35061,55102333941.14905,17780874268.479813
215,2022-07-29,65896189151.3972,54807696396.953835,17830725660.04552
216,2022-07-30,66064247521.139114,54776435814.41119,17861605634.709843
217,2022-07-31,65998757244.06003,54486021782.7533,17882805053.63503
218,2022-08-01,65871066520.41806,54475694589.20637,17895668779.12032
219,2022-08-02,65897271979.41255,54363171984.42034,17933996079.426502
220,2022-08-03,65946593628.24624,54400868590.981445,17917092487.04943
221,2022-08-04,66048905466.55481,54392871105.05808,17952044235.233135
222,2022-08-05,65884052340.8804,54163409630.76019,17922226528.321526
223,2022-08-06,65906913334.12349,54288769568.96059,17910766907.032562
224,2022-08-07,65935699280.72453,54298760703.141335,17915186849.56788
225,2022-08-08,65900531595.862015,54269365269.62653,17943219640.838776
226,2022-08-09,66588298054.16226,54212233071.07359,17842542884.66992
227,2022-08-10,66643782686.95675,54162812659.97191,17764774954.363743
228,2022-08-11,66824158933.72832,53941490099.201256,17811832182.73853
229,2022-08-12,66803034990.50529,53838264961.70188,17828218352.700344
230,2022-08-13,67033676582.9512,53922771547.85243,17689667031.757103
231,2022-08-14,67336058431.295265,53907543362.51786,17650659771.80977
232,2022-08-15,67391244058.67241,53617936749.1216,17715005716.454525
233,2022-08-16,67652985767.09705,53586366039.73065,18046838359.381813
234,2022-08-17,67628387530.74783,53563274699.32942,17995123125.90802
235,2022-08-18,67661309991.09669,53192725314.53188,18310810485.664303
236,2022-08-19,67599397338.533615,52880168877.73022,18599154753.786545
237,2022-08-20,67613790592.34826,52523070333.1086,18869800838.60819
238,2022-08-21,67636574571.28297,52437858149.54976,18843732460.781403
239,2022-08-22,67709967896.07332,52659400310.54224,18862642165.36644
240,2022-08-23,67459980598.661224,52340061743.20675,19105978003.535038
241,2022-08-24,67595655943.20196,52325574418.02968,19044917566.323563
242,2022-08-25,67662286384.41471,52246887020.489006,19086634365.53742
243,2022-08-26,67607803889.07153,52161487277.005516,19241898586.146492
244,2022-08-27,67603617552.80545,52221735774.71103,19296421325.379704
245,2022-08-28,67491483345.88653,52159828556.133766,19321587352.10478
246,2022-08-29,67758458419.37183,52302755946.51703,19170290896.341404
247,2022-08-30,67565637622.98869,52313311695.47574,19294336714.915962
248,2022-08-31,67519668194.44912,52328535498.43664,19336231812.341717
249,2022-09-01,67580452604.835976,52330137597.63609,19318797885.833733
250,2022-09-02,67566686586.32284,52054122243.281586,19428654927.154613
251,2022-09-03,67589758604.17418,51839811822.72789,19556235083.997875
252,2022-09-04,67621840541.26844,51916991289.02468,19571932187.935932
253,2022-09-05,67552311534.993935,51857089829.07093,19459801586.553055
254,2022-09-06,67462799318.13787,51836941615.72951,19435740800.40461
255,2022-09-07,67553030576.27932,51555774392.79027,19749072559.845604
256,2022-09-08,67550650693.042984,51713335978.84526,19681211654.222805
257,2022-09-09,67563856236.753395,51684200639.11994,19905913309.131233
258,2022-09-10,67559691716.583244,51708716431.37792,19998654471.142776
259,2022-09-11,67616934268.85489,51660632936.89371,19986196500.70741
260,2022-09-12,67621935137.52143,51573885797.86316,20023166100.528004
261,2022-09-13,67670900660.71105,51439632692.07493,20114346668.789886
262,2022-09-14,67937100888.36377,51382830584.97773,20219096480.178997
263,2022-09-15,67875153355.231544,50699690764.68886,20525112724.146454
264,2022-09-16,67891357718.121574,50362962307.83526,20681190439.12798
265,2022-09-17,67984908907.33317,50321821840.55519,20675480352.464233
266,2022-09-18,67929683638.52679,50275732998.17199,20660889290.997417
267,2022-09-19,68047634333.75496,50246500269.10349,20643273210.60059
268,2022-09-20,67939949725.58882,49984828099.68424,21008752323.137028
269,2022-09-21,68008979229.87418,50170337209.851295,21038784044.9848
270,2022-09-22,68008869299.22897,49961843472.70167,21053075577.8011
271,2022-09-23,67906039948.3166,49892551993.93781,21051776129.290882
272,2022-09-24,68027171287.0883,49869385732.3609,21002852989.239746
273,2022-09-25,67976902021.59561,49778209173.60821,21056613857.94624
274,2022-09-26,68047936265.74275,49676427403.12579,21064214248.449623
275,2022-09-27,67930817962.00264,49228298552.37009,21042852015.239254
276,2022-09-28,67982225347.23598,49197363299.44202,21055593393.991257
277,2022-09-29,68019534015.30044,48925297414.18055,21031325853.037518
278,2022-09-30,68018936942.06588,48516414136.991325,20954878358.677452
279,2022-10-01,68032463504.97388,47317566543.662346,20927253747.41077
280,2022-10-02,67985211418.08468,47217028392.141754,20914293948.115585
281,2022-10-03,67852870798.587524,47429205566.80099,20997463499.47781
282,2022-10-04,67955487841.613365,47127777473.428444,20836218342.474094
283,2022-10-05,68146472900.634766,46767462842.158936,21206832034.078823
284,2022-10-06,68249512085.343575,46412465271.411156,21392314155.809948
285,2022-10-07,68240186691.13497,46188993440.89064,21630728824.76816
286,2022-10-08,68360023403.83701,46210937641.39333,21707058448.638863
287,2022-10-09,68384660011.30266,46054961500.96836,21774853244.55238
288,2022-10-10,68308301853.70279,45974636493.609,21663418353.73307
289,2022-10-11,68465529813.593346,45967669158.001495,21513802155.14394
290,2022-10-12,68428561681.45524,45948598246.08482,21537168618.636875
291,2022-10-13,68433385613.54075,45868986890.18036,21210470038.769665
292,2022-10-14,68454082242.04629,45509587292.7311,21352532040.485325
293,2022-10-15,68389617989.81952,44952268038.475334,21373263785.012196
294,2022-10-16,68388940699.011696,45014733395.86217,21416202513.542805
295,2022-10-17,68445138503.118774,45007234186.11907,21307808177.747166
296,2022-10-18,68416637689.73752,44756383398.37214,21301178892.200886
297,2022-10-19,68473113039.735085,44552999522.06491,21578148197.101624
298,2022-10-20,68452826677.49308,44399264134.655396,21709997367.074883
299,2022-10-21,68446610236.90032,43915403661.56201,21885534659.597565
300,2022-10-22,68465349602.0029,43900140152.31232,21765740870.652916
301,2022-10-23,68458383191.545166,43913475709.85313,21767378237.96126
302,2022-10-24,68424379026.95898,43923123683.40675,21770777939.46772
303,2022-10-25,68401790564.43543,43774483587.58443,21755880180.982883
304,2022-10-26,68515959469.884926,43760353889.53523,21566478244.19327
305,2022-10-27,68539062510.87245,43823149351.61729,21451838965.32368
306,2022-10-28,68889141732.72426,43971339153.10381,21224949428.362343
307,2022-10-29,68964914947.12599,43735636820.97778,21370849381.03525
308,2022-10-30,69095205493.06725,43687403699.303925,21390769268.685017
309,2022-10-31,69094359478.10323,43650950203.28888,21389930061.25875
310,2022-11-01,69380585989.30975,43404958127.33407,21141938091.309658
311,2022-11-02,69425689152.10635,43002287942.344444,21667592642.44422
312,2022-11-03,69431437615.846,42583246690.07697,21979151497.07884
313,2022-11-04,69350142130.99507,42134427139.32832,22481896659.137436
314,2022-11-05,69355263616.87975,42096164338.783585,22525322927.45351
315,2022-11-06,69350525154.05742,42052836506.61693,22562480709.466915
316,2022-11-07,69346001162.83171,42327476716.885605,22543961280.52331
317,2022-11-08,69511154153.31842,43328997278.22703,22578150158.016384
318,2022-11-09,69513632100.61911,42692116354.96052,23049385691.04961
319,2022-11-10,69466521505.56256,42786320122.941345,22931274427.545586
320,2022-11-11,68441044955.661415,43650609778.545975,22933506473.392517
321,2022-11-12,68399398020.52115,43885311174.949486,23137520636.510403
322,2022-11-13,67396572037.204094,44063041658.58514,23361438101.677773
323,2022-11-14,66441439081.88792,44093694941.382286,23350109559.515316
324,2022-11-15,66459223430.902054,44249938149.56627,23492255555.38403
325,2022-11-16,66125312403.21258,44625634395.198494,23247643911.428623
326,2022-11-17,66019772913.77536,44380809309.657715,23044081634.676556
327,2022-11-18,65972069594.07388,44166074835.45052,22949718215.746082
328,2022-11-19,65986696851.80106,44397713114.30733,22944281351.91663
329,2022-11-20,65965182392.95004,44454698761.68238,22899397861.110474
330,2022-11-21,65964018960.94639,44571997620.49273,22937856109.27881
331,2022-11-22,65939717655.37897,44322455958.14182,22822650243.9832
332,2022-11-23,65597886005.57602,44137703777.5843,22812477305.44166
333,2022-11-24,65543712562.18742,43725048309.42981,22894415589.647053
334,2022-11-25,65367598699.39223,44047195157.478,22879322771.495193
335,2022-11-26,65345701967.116714,43961272957.173805,22500557132.656525
336,2022-11-27,65338517247.26141,44130944749.82288,22494393280.818962
337,2022-11-28,65432655693.52283,44267982124.8933,22405851759.940872
338,2022-11-29,65361591999.46574,43639134379.09922,22386539765.590786
339,2022-11-30,65366405161.820755,43289158814.96512,22371987523.101063
340,2022-12-01,65511131600.92582,43237688218.705246,22409632047.29177
341,2022-12-02,65641200262.3192,43038089851.27382,22163415296.91032
342,2022-12-03,65388426943.75712,43226288018.9148,22194759003.467068
343,2022-12-04,65769558099.30616,43437755638.84056,22265822454.79752
344,2022-12-05,65557951753.473175,43453588831.88669,22156905753.94485
345,2022-12-06,65546686928.49787,43174777144.216736,22134351619.229137
346,2022-12-07,65558601840.21761,43014542405.90922,22043374770.849865
347,2022-12-08,65717867682.57215,42841983413.40195,22113277522.78471
348,2022-12-09,65681144306.21768,42795341793.9225,22063784331.429676
349,2022-12-10,65770950095.572876,42734846903.63048,22106741787.712105
350,2022-12-11,65729244224.59175,42708116169.6588,22095019940.870926
351,2022-12-12,65766093056.06259,42804576873.84046,22101906064.6337
352,2022-12-13,65688467049.99374,42478597334.777176,21997259073.698685
353,2022-12-14,65815203375.07555,45046905555.24035,18801636121.715237
354,2022-12-15,65978794246.08342,45219482768.55026,18576204171.16328
355,2022-12-16,65997016215.353096,45135657888.42942,18659296893.076508
356,2022-12-17,65770714186.31364,44783417674.79347,18418958813.370594
357,2022-12-18,66069871457.42192,44962564935.60457,18465462959.8104
358,2022-12-19,66163136479.42052,44960720772.71949,18436791145.991302
359,2022-12-20,66174433958.500084,44590089225.090805,18331431221.69504
360,2022-12-21,66210497794.15593,44442864038.849625,18062158040.418995
361,2022-12-22,66222410592.693405,44292111490.61172,18019965551.301586
362,2022-12-23,66253234080.76853,44195475644.06561,17980476505.34423
363,2022-12-24,66290527437.95575,44161657753.64621,17547115955.97307
364,2022-12-25,66280331784.85776,44233781036.083496,17474683472.278175
365,2022-12-26,66260084337.19826,44372269006.612144,17399388243.487694
366,2022-12-27,66289979631.46615,44513812934.27788,17324797366.66614
367,2022-12-28,66241360621.11682,44178052972.40207,17178897031.350542
368,2022-12-29,66232030177.68255,44400302705.74302,17030497794.784866
369,2022-12-30,66255815696.12944,44406969867.92012,16883649115.849846
370,2022-12-31,66279043570.31453,44523297779.09351,16722622374.546856
371,2023-01-01,66226451754.38176,44528657221.25403,16574885332.00022
372,2023-01-02,66301858477.74817,44601803873.66535,16575751459.373606
373,2023-01-03,66223251669.25232,44694019195.94614,16417193949.192665
374,2023-01-04,66274058933.38085,44202124101.04543,16567960722.663107
375,2023-01-05,66245545660.29001,44135425876.20872,16553838036.063446
376,2023-01-06,66278648652.01702,43763429710.4896,16787259708.234497
377,2023-01-07,66263334312.75015,43712866667.88639,16393926355.029032
378,2023-01-08,66272451611.88523,43815414263.92143,16432979674.990894
379,2023-01-09,66295359783.54114,43973957034.79293,16308172539.08088
380,2023-01-10,66315047027.9915,44012648245.02809,16325313264.081116
381,2023-01-11,66307828854.78396,43685112246.50622,16288817813.446613
382,2023-01-12,65470424457.41479,43929682405.56178,16704871661.045982
383,2023-01-13,66278004907.72334,43933186019.80946,16188034628.960453
384,2023-01-14,66317495370.291145,43462592152.31972,16366894105.750023
385,2023-01-15,66305842236.8753,43678264953.162285,16425085197.84127
386,2023-01-16,66370266581.06579,43833013504.28466,16342186309.359894
387,2023-01-17,66315382010.56667,43830805552.6618,16236098096.995502
388,2023-01-18,66472290219.18532,43541671600.105484,15871914942.909702
389,2023-01-19,66549279927.0732,43107768362.55009,16127270710.530632
390,2023-01-20,66542669715.76394,43107246611.013084,16380798736.160044
391,2023-01-21,66542663619.61765,43209684232.936554,16347566277.79455
392,2023-01-22,66376505551.62937,43327364623.63976,16227361912.570692
393,2023-01-23,66739726193.22115,43513037553.59286,16111502732.620459
394,2023-01-24,66692161993.527954,43430853637.82664,15831012235.203558
395,2023-01-25,66885882203.16084,43719411091.15443,15486299423.408205
396,2023-01-26,67139928234.07279,43545593015.82271,15666338077.822943
397,2023-01-27,67240886056.865845,43326277770.16066,15742671819.637869
398,2023-01-28,67373574300.06389,43080116274.414444,15637323936.13492
399,2023-01-29,67569736303.8954,43167479981.93234,15796198864.450054
400,2023-01-30,67687123254.52642,43113082734.74294,15703172899.208189
401,2023-01-31,67779797060.88225,42731330918.92384,15743624650.87929
402,2023-02-01,67834965073.44664,42443689338.95115,16099593808.782776
403,2023-02-02,67846146300.35402,42339805493.066895,16094230487.731546
404,2023-02-03,67892950614.04458,42540250173.261154,16117814889.273138
405,2023-02-04,68042153687.37086,41979649585.07855,16279637825.543573
