Date,Open,High,Low,Close,Adj Close,Volume
2023-08-04,5.253000,5.255000,5.250000,5.253000,5.253000,0
2023-08-06,null,null,null,null,null,null
2023-08-07,5.245000,5.260000,5.245000,5.260000,5.260000,0
2023-08-08,5.278000,5.283000,5.270000,5.275000,5.275000,0
2023-08-09,5.285000,5.285000,5.100000,5.280000,5.280000,0
2023-08-10,5.273000,5.273000,5.245000,5.268000,5.268000,0
2023-08-11,5.255000,5.273000,5.253000,5.265000,5.265000,0
2023-08-13,null,null,null,null,null,null
2023-08-14,5.265000,5.273000,5.265000,5.270000,5.270000,0
2023-08-15,5.280000,5.285000,5.270000,5.280000,5.280000,0
2023-08-16,5.280000,5.285000,5.280000,5.285000,5.285000,0
2023-08-17,5.283000,5.283000,5.265000,5.278000,5.278000,0
2023-08-18,5.270000,5.278000,5.265000,5.278000,5.278000,0
2023-08-20,null,null,null,null,null,null
2023-08-21,5.278000,5.283000,5.275000,5.280000,5.280000,0
2023-08-22,5.293000,5.300000,5.293000,5.295000,5.295000,0
2023-08-23,5.290000,5.298000,5.270000,5.295000,5.295000,0
2023-08-24,5.295000,5.303000,5.290000,5.303000,5.303000,0
2023-08-25,5.298000,5.315000,5.298000,5.315000,5.315000,0
2023-08-27,null,null,null,null,null,null
2023-08-28,5.320000,5.325000,5.318000,5.323000,5.323000,0
2023-08-29,5.335000,5.340000,5.318000,5.320000,5.320000,0
2023-08-30,5.318000,5.318000,5.310000,5.315000,5.315000,0
2023-08-31,5.305000,5.313000,5.295000,5.298000,5.298000,0
2023-09-01,5.288000,5.288000,5.220000,5.268000,5.268000,0
2023-09-03,null,null,null,null,null,null
2023-09-05,5.273000,5.285000,5.248000,5.278000,5.278000,0
2023-09-06,5.308000,5.310000,5.200000,5.300000,5.300000,0
2023-09-07,5.293000,5.293000,5.283000,5.283000,5.283000,0
2023-09-08,5.283000,5.293000,5.275000,5.293000,5.293000,0
2023-09-10,null,null,null,null,null,null
2023-09-11,5.288000,5.300000,5.288000,5.293000,5.293000,0
2023-09-12,5.305000,5.308000,5.305000,5.305000,5.305000,0
2023-09-13,5.313000,5.315000,5.268000,5.305000,5.305000,0
2023-09-14,5.298000,5.305000,5.285000,5.295000,5.295000,0
2023-09-15,5.298000,5.303000,5.293000,5.298000,5.298000,0
2023-09-17,null,null,null,null,null,null
2023-09-18,5.298000,5.305000,5.298000,5.300000,5.300000,0
2023-09-19,5.305000,5.313000,5.305000,5.310000,5.310000,0
2023-09-20,5.315000,5.320000,5.200000,5.315000,5.315000,0
2023-09-21,5.305000,5.310000,5.295000,5.305000,5.305000,0
2023-09-22,5.305000,5.313000,5.298000,5.305000,5.305000,0
