,USDT_value,USDC_value,timestamp
365,107468552.54279,576380204.84485,2021-05-20 00:00:00
366,130265813.26706,805075721.75324,2021-05-21 00:00:00
367,175772586.76152,1043412003.0961599,2021-05-22 00:00:00
368,220618493.32967,1043502561.37583,2021-05-23 00:00:00
369,114732741.94082999,1033146044.12015,2021-05-24 00:00:00
370,121478370.69663,1139097505.38081,2021-05-25 00:00:00
371,113724699.39282,1246679781.67613,2021-05-26 00:00:00
372,208731865.7199,1380737502.22053,2021-05-27 00:00:00
373,333595260.58771,1641287081.2393498,2021-05-28 00:00:00
374,365677335.26190996,1549136397.4155798,2021-05-29 00:00:00
375,453174391.37122,1908222210.48686,2021-05-30 00:00:00
376,576042810.11713,1980381754.48344,2021-05-31 00:00:00
377,604509791.0131301,1988098495.78874,2021-06-01 00:00:00
378,687586925.4182099,1948146741.96806,2021-06-02 00:00:00
379,669043711.74908,1907311004.19694,2021-06-03 00:00:00
380,489681787.12657,1855053111.8680801,2021-06-04 00:00:00
381,452095691.25851,1867965952.94318,2021-06-05 00:00:00
382,485608055.03093004,1878266363.05101,2021-06-06 00:00:00
383,478498746.27204996,1886900441.41745,2021-06-07 00:00:00
384,420023289.79948,1686706155.63296,2021-06-08 00:00:00
385,385272689.5673,1782485253.0137398,2021-06-09 00:00:00
386,351053506.15677,1817762256.32199,2021-06-10 00:00:00
387,329025981.4978,1822898393.5027301,2021-06-11 00:00:00
388,279638753.27379,1773574576.7763999,2021-06-12 00:00:00
389,268311564.69878,1819598170.3867998,2021-06-13 00:00:00
390,267828965.12863,1841942564.88744,2021-06-14 00:00:00
391,209595188.16735,1762105019.67985,2021-06-15 00:00:00
392,162887844.24077,1691624313.27102,2021-06-16 00:00:00
393,251230421.43839002,1466666132.3552501,2021-06-17 00:00:00
394,214597668.88383,1623031401.08975,2021-06-18 00:00:00
395,241615044.34293002,1672820134.68258,2021-06-19 00:00:00
396,233213117.54423,1714442256.12831,2021-06-20 00:00:00
397,283293591.94913,1713452820.01257,2021-06-21 00:00:00
398,322261748.11622,1892125802.272,2021-06-22 00:00:00
399,302657230.84985,1823015704.87414,2021-06-23 00:00:00
400,266173802.14909002,1750332084.31317,2021-06-24 00:00:00
401,277399368.7993,1673508163.94678,2021-06-25 00:00:00
402,277058299.81556,1645165176.85351,2021-06-26 00:00:00
403,277973315.55636,1614126928.7838101,2021-06-27 00:00:00
404,260063905.00586998,1617543395.75247,2021-06-28 00:00:00
405,227655238.89113,1594002203.487,2021-06-29 00:00:00
406,186803892.97986,1612803697.83756,2021-06-30 00:00:00
407,203252473.16329002,1451562501.18841,2021-07-01 00:00:00
408,207726629.40461,1455647238.34582,2021-07-02 00:00:00
409,228240011.46465,1468436845.70495,2021-07-03 00:00:00
410,237449112.05306,1456119029.66483,2021-07-04 00:00:00
411,228933629.9717,1429414161.79641,2021-07-05 00:00:00
412,217618058.8416,1437030097.4099698,2021-07-06 00:00:00
413,216629021.74093002,1443908550.1482,2021-07-07 00:00:00
414,208862311.33789998,1510317673.04492,2021-07-08 00:00:00
415,239738127.60066998,1513514327.94891,2021-07-09 00:00:00
416,236405121.79589,1540875080.81392,2021-07-10 00:00:00
417,242741393.22675002,1528616145.18337,2021-07-11 00:00:00
418,249419884.96221,1528172786.74005,2021-07-12 00:00:00
419,238224040.90605998,1469091092.1915898,2021-07-13 00:00:00
420,212383745.94596002,1437001524.9590201,2021-07-14 00:00:00
421,207019364.08443,1477467976.00797,2021-07-15 00:00:00
422,271120263.21449,1661365538.60654,2021-07-16 00:00:00
423,314999315.40317,1693572741.3731,2021-07-17 00:00:00
424,328655408.33634,1745367929.3989701,2021-07-18 00:00:00
425,319454758.54545003,1751848505.96404,2021-07-19 00:00:00
426,379278788.84714,1722141183.0637102,2021-07-20 00:00:00
427,394070073.10423,1739863578.74226,2021-07-21 00:00:00
428,416273720.22994,1736180036.6274302,2021-07-22 00:00:00
429,389748544.34905,1695669046.47255,2021-07-23 00:00:00
430,359258138.59988,1695035775.04586,2021-07-24 00:00:00
431,326906945.85364,1698418063.5169702,2021-07-25 00:00:00
432,320221210.66977996,1766197405.99195,2021-07-26 00:00:00
433,338832089.92613,1688664449.9324598,2021-07-27 00:00:00
434,327163343.47141004,1689895153.85617,2021-07-28 00:00:00
435,239616295.66098,1674340390.65699,2021-07-29 00:00:00
436,236311541.02398,1681962666.6695,2021-07-30 00:00:00
437,203195677.80675,1649331002.94857,2021-07-31 00:00:00
438,181482987.8439,1637483353.9486,2021-08-01 00:00:00
439,200047476.78671,1615491966.9765399,2021-08-02 00:00:00
440,134161615.60775,1612277814.55698,2021-08-03 00:00:00
441,346264932.67697,1746059633.5885,2021-08-04 00:00:00
442,333015222.7112,1700918572.1416898,2021-08-05 00:00:00
443,325960414.30084,1641518327.32249,2021-08-06 00:00:00
444,290229116.31542003,1521708587.3192902,2021-08-07 00:00:00
445,229916716.47538,1470205687.0762,2021-08-08 00:00:00
446,220718041.66351,1468415532.90448,2021-08-09 00:00:00
447,218886242.48066,1487594873.81954,2021-08-10 00:00:00
448,152864790.1135,1495744152.3670402,2021-08-11 00:00:00
449,213472426.80609998,1350283719.55546,2021-08-12 00:00:00
450,271903103.4054,1277128535.7464402,2021-08-13 00:00:00
451,114443195.06041999,984755220.47904,2021-08-14 00:00:00
452,263833736.84834,985780055.6316401,2021-08-15 00:00:00
453,221943934.92306998,970526718.38433,2021-08-16 00:00:00
454,299373636.40667,962920350.9788901,2021-08-17 00:00:00
455,216097024.46406,963457851.66715,2021-08-18 00:00:00
456,245225528.78868997,877005306.21672,2021-08-19 00:00:00
457,388661555.95135,1161046305.83203,2021-08-20 00:00:00
458,326789213.70453,998329680.55212,2021-08-21 00:00:00
459,246674679.93593,951565968.0198901,2021-08-22 00:00:00
460,236566129.66752,932231743.96435,2021-08-23 00:00:00
461,371440595.86522996,1020465668.55892,2021-08-24 00:00:00
462,229437956.97763002,953296344.67768,2021-08-25 00:00:00
463,299019485.65218,950257469.2923701,2021-08-26 00:00:00
464,281538082.36428,951868948.69081,2021-08-27 00:00:00
465,214711605.54026002,942023848.1184599,2021-08-28 00:00:00
466,214446370.67488,935745142.6526899,2021-08-29 00:00:00
467,213134265.87879002,929972397.05337,2021-08-30 00:00:00
468,289561978.45918,894344612.6849601,2021-08-31 00:00:00
469,221285300.57977,910284437.47873,2021-09-01 00:00:00
470,220286627.82642,893792287.5616901,2021-09-02 00:00:00
471,210340292.87015,817744044.1070399,2021-09-03 00:00:00
